Date,Total Vaccinations,Total Vaccinations Per Hundred,People Vaccinated,People Vaccinated Per Hundred,People Fully Vaccinated,People Fully Vaccinated Per Hundred,Daily Vaccinations,Daily Vaccinations Per Million,Total Distributed,Share Doses Used
12/20/2020,556208,0.17,,,,,,,,
12/21/2020,614117,0.18,,,,,57909,174,,
12/22/2020,,,,,,,127432,384,,
12/23/2020,1008025,0.3,,,,,150606,454,,
12/24/2020,,,,,,,191001,575,,
12/25/2020,,,,,,,215238,648,,
12/26/2020,1944585,0.59,,,,,231396,697,,
12/27/2020,,,,,,,211379,637,,
12/28/2020,2127143,0.64,,,,,216147,651,,
12/29/2020,,,,,,,235685,710,,
12/30/2020,2794588,0.84,,,,,255223,769,,
12/31/2020,,,,,,,278776,840,,
1/1/2021,,,,,,,302329,911,,
1/2/2021,4225756,1.27,,,,,325882,982,,
1/3/2021,,,,,,,336949,1015,,
1/4/2021,4563260,1.37,,,,,348017,1048,,
1/5/2021,4836469,1.46,,,,,339372,1022,,
1/6/2021,5306797,1.6,,,,,358887,1081,,
1/7/2021,5919418,1.78,,,,,378253,1139,,
1/8/2021,6688231,2.01,,,,,419933,1265,,
1/9/2021,,,,,,,461263,1389,,
1/10/2021,,,,,,,546636,1647,,
1/11/2021,8987322,2.71,,,,,632009,1904,,
1/12/2021,9327138,2.81,7398897,2.23,782228,0.24,641524,1932,27696150,0.337
1/13/2021,10278462,3.1,8015434,2.41,1020260,0.31,710238,2139,29380125,0.35
1/14/2021,11148991,3.36,9690757,2.92,,,747082,2250,30628175,0.364
1/15/2021,12279180,3.7,10595866,3.19,1610524,0.49,798707,2406,31161075,0.394
1/16/2021,,,,,,,811670,2445,,
1/17/2021,,,,,,,824632,2484,,
1/18/2021,,,,,,,837595,2523,,
1/19/2021,15707588,4.73,13595803,4.1,2023124,0.61,911493,2745,31161075,0.504
1/20/2021,16525281,4.98,14270441,4.3,2161419,0.65,892403,2688,35990150,0.459
1/21/2021,17546374,5.29,15053257,4.53,2394961,0.72,913912,2753,37960000,0.462
1/22/2021,19107959,5.76,16243093,4.89,2756953,0.83,975540,2938,39892400,0.479
1/23/2021,20537990,6.19,17390345,5.24,3027865,0.91,1057387,3185,41411550,0.496
1/24/2021,21848655,6.58,18502131,5.57,3216836,0.97,1122182,3380,41411550,0.528
1/25/2021,22734243,6.85,19252279,5.8,3346390,1.01,1126251,3392,41418325,0.549
1/26/2021,23540994,7.09,19902237,5.99,3481921,1.05,1119058,3371,44394075,0.53
1/27/2021,24652634,7.43,20687970,6.23,3801053,1.14,1161050,3497,47230950,0.522
1/28/2021,26193682,7.89,21698606,6.54,4263056,1.28,1235330,3721,48386275,0.541
1/29/2021,27884661,8.4,22858318,6.89,4780888,1.44,1253815,3777,49216500,0.567
1/30/2021,29577902,8.91,24064165,7.25,5259693,1.58,1291416,3890,49932850,0.592
1/31/2021,31123299,9.37,25201143,7.59,5657142,1.7,1324949,3991,49933250,0.623
2/1/2021,32222402,9.71,26023153,7.84,5927847,1.79,1355451,4083,49936450,0.645
2/2/2021,32780860,9.87,26440836,7.96,6064792,1.83,1319981,3976,52657675,0.623
2/3/2021,33878254,10.2,27154956,8.18,6436931,1.94,1317946,3970,55943800,0.606
2/4/2021,35203710,10.6,27905197,8.41,6926050,2.09,1287147,3877,57489675,0.612
2/5/2021,36819212,11.09,28909497,8.71,7503864,2.26,1276364,3845,58380300,0.631
2/6/2021,39037964,11.76,30250964,9.11,8317180,2.51,1351437,4071,59304600,0.658
2/7/2021,41210937,12.41,31579100,9.51,9147185,2.76,1441091,4341,59307800,0.695
2/8/2021,42417617,12.78,32340146,9.74,9518015,2.87,1456459,4387,59307800,0.715
2/9/2021,43206190,13.01,32867213,9.9,9840429,2.96,1489333,4486,62898775,0.687
2/10/2021,44769970,13.49,33783384,10.18,10469514,3.15,1555959,4687,65972575,0.679
2/11/2021,46390270,13.97,34723964,10.46,11188782,3.37,1598080,4814,68285575,0.679
2/12/2021,48410558,14.58,35834855,10.79,12085830,3.64,1655907,4988,69014725,0.701
2/13/2021,50641884,15.25,37056122,11.16,13082172,3.94,1657703,4993,69883625,0.725
2/14/2021,52884356,15.93,38292270,11.53,14077440,4.24,1667631,5023,70057800,0.755
2/15/2021,,,,,,,1662106,5006,,
2/16/2021,55220364,16.63,39670551,11.95,15015434,4.52,1716311,5170,71657975,0.771
2/17/2021,56281827,16.95,40268009,12.13,15471536,4.66,1644551,4954,72423125,0.777
2/18/2021,57737767,17.39,41021049,12.36,16162358,4.87,1621071,4883,73377450,0.787
2/19/2021,59585043,17.95,41977401,12.64,17039118,5.13,1596355,4808,78152495,0.762
2/20/2021,61289500,18.46,42809595,12.89,17895667,5.39,1521088,4582,74979165,0.817
2/21/2021,63090634,19,43628092,13.14,18865319,5.68,1458040,4392,75204965,0.839
2/22/2021,64177474,19.33,44138118,13.29,19438495,5.86,1446445,4357,75205940,0.853
2/23/2021,65032083,19.59,44544969,13.42,19882544,5.99,1401674,4222,82114370,0.792
2/24/2021,66464947,20.02,45237143,13.63,20607261,6.21,1454731,4382,88669035,0.75
2/25/2021,68274117,20.56,46074392,13.88,21555117,6.49,1505193,4534,91673010,0.745
2/26/2021,70454064,21.22,47184199,14.21,22613359,6.81,1552717,4677,94300910,0.747
2/27/2021,72806180,21.93,48435536,14.59,23698627,7.14,1645240,4956,96402290,0.755
2/28/2021,75236003,22.66,49772180,14.99,24779920,7.46,1735053,5226,96402490,0.78
3/1/2021,76899987,23.16,50732997,15.28,25466405,7.67,1817502,5474,96402490,0.798
3/2/2021,78631601,23.68,51755447,15.59,26162122,7.88,1942788,5852,102353940,0.768
3/3/2021,80540474,24.26,52855579,15.92,26957804,8.12,2010790,6057,107028890,0.753
3/4/2021,82572848,24.87,54035670,16.28,27795980,8.37,2042676,6153,109905530,0.751
